instfor,"Sudjelovat cete u zadatku kojim se mjeri vasa sposobnost pamcenja niza kvadrata na ekranu. Vidjet cete devet plavih kvadrata na ekranu. U svakom pokusaju, kvadrati ce zasvijetliti jedan po jedan. Zapamtite niz. Kada zavrsi niz morate kliknuti na svaki od kvadrata koji je zasvijetlio ONIM REDOSLIJEDOM KOJI JE PRIKAZAN NA EKRANU. \n\nJednom kada ste to napravili pritisnitie dugmme GOTOVO.  \n\nUkoliko se ne mozete sjetiti tocne kombinacije niza kvadrata, odredite kombinaciju koja je najslicnija originalu. \n\nNiz cete zapoceti s dva kvadrata te cete imati dva pokusaja za svaki niz. Niz ce se povecati za jedan kvadrat svaki put kada barem jedan od zadataka rijesite tocno. Ukoliko tocno odredite slijed, sljedeci niz bit ce duzi za jedan kvadrat. Pritisnite lijevo dugme misa za pocetak"
instback,"Sudjelovat cete u zadatku kojim se mjeri vasa sposobnost pamcenja niza kvadrata na ekranu. Vidjet cete devet plavih kvadrata na ekranu. U svakom pokusaju, kvadrati ce zasvijetliti jedan po jedan. Zapamtite niz. Kada zavrsi niz morate kliknuti na svaki od kvadrata koji je zasvijetlio. No, to morate uciniti OBRUTIM REDOSLIJEDOM NEGO STO JE BILO PRIKAZANO NA EKRANU. Na primjer, najprije pritisnite onaj kvadrat koji je zadnji zasvijetlio. Jednom kada ste to napravili pritisnitie dugmme GOTOVO.\n\nUkoliko se ne mozete sjetiti tocne kombinacije niza kvadrata, odredite kombinciju koja je najslicnija originalu. \n\nNiz cete zapoceti s dva kvadrata te cete imati dva pokusaja za svaki niz. Niz ce se povecati za jedan kvadrat svaki put kada barem jedan od zadataka rijesite tocno. Ukoliko tocno odredite slijed, sljedeci niz bit ce duzi za jedan kvadrat. Pritisnite lijevo dugme misa za pocetak."
Prompt1,"Najprije cete imati nekoliko pokusaja za uvjezbavanje. Ovi pokusaji nece utjecati na vas rezultat."
prompt2,"Sada cete zapoceti sa zadacima koji ce se bodovati. Pritisnite lijevo dugme misa za pocetak."
PromptFinal1,"Hvala na sudjelovanju. Obavijestite istrazivaca da ste gotovi. "
PromptFinal2,"Raspon blokova:  "
PromptFinal3,"Ukupni rezultat:          "
PromptFinal4,"Broj tocnih pokusaja:               "
PromptFinal5,"Raspon pamcenja:          "
Ready,"PRIPREMITE SE"
Correct,"Tocno"
Incorrect,"Netocno"
Done,"Gotovo"
author,Silvija Rucevic
