instfor,"Está prestes a iniciar um teste que vai medir a sua capacidade de memorizar uma sequência visual. Vai ver nove quadrados azuis no ecrã. Em cada tentativa, os quadrados vão mudar de côr, um de cada vez e em sequência. Quando terminar a sequência,  terá de clicar em cada quadrado na ORDEM EXACTA EM QUE ESTES MUDARAM DE CÔR.Quando terminar, clique no botão em baixo com o nome FINAL.\n\n  Se não conseguir se lembrar da ordem correcta, clique o mais próximo que conseguir do original.  Vai iniciar com uma sequência de dois quadrados, e terá duas tentativas por sequência.  As sequências vão aumentando de dificuldade, e o teste só termina quando errar em duas sequências consecutivas. \n(Clique no botão do rato quando estiver preparado para começar.)"
instback,"Está prestes a iniciar um teste que vai medir a sua capacidade de memorizar uma sequência visual. Vai ver nove quadrados azuis no ecrã. Em cada tentativa, os quadrados vão mudar de côr, um de cada vez e em sequência. Quando terminar a sequência,  terá de clicar em cada quadrado na ORDEM INVERSA EM QUE ESTES MUDARAM DE CÔR.  Isto é, clique inicialmente no último quadrado que mudou de côr, e assim sucessivamente, do último para o primeiro.  Quando terminar, clique no botão em baixo com o nome FINAL.  \n\nSe não conseguir se lembrar da ordem correcta, clique o mais próximo que conseguir do original.  Vai iniciar com uma sequência de dois quadrados, e terá duas tentativas por sequência.  As sequências vão aumentando de dificuldade, e o teste só termina quando errar em duas sequências consecutivas.  (Clique no botão do rato quando estiver preparado para começar.)"
prompt1,"Primeiro vai começar com três tentativas de prática para se familiarizar com o teste. Estas tentativas não vão afectar o resultado final.  (Carregue no botão do rato para continuar.)"
prompt2,"Terminou a prática, vai iniciar agora as tentativas de teste.  (Carregue no botão do rato para INICIAR.)"
PromptFinal1,"Final do teste. Obrigado por participar. (Carregue em qualquer tecla para terminar.)"
PromptFinal2,"Último Item com tentativa Completa:          "
PromptFinal3,Total Score:          
PromptFinal4,"Total Tentativas Correctas:              " 
PromptFinal5,Memory Span:         
ready,"PREPARADO"
correct,"Correcto"
incorrect,"Incorrecto"
done,"Final"
author,Marco Moniz
