subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
hhh,1,LRTKBRS,7,25320,1,LRTKBRS,576,1467,1,7,0
hhh,2,SISTER,6,26684,0,SISTER,681,675,1,6,0
hhh,3,LRTKBRS,7,28804,1,LRTKBRS,654,1458,1,7,0
hhh,4,RENEW,5,30339,0,RENEW,777,750,1,5,0
hhh,5,TODAY,5,31666,0,TODAY,740,577,1,5,0
hhh,6,PATIENT,7,33583,0,PATIENT,680,1228,1,7,0
hhh,7,LRTKBRS,7,36208,1,LRTKBRS,1143,1472,1,7,0
hhh,8,LATTER,6,37835,0,LATTER,827,792,1,6,0
hhh,9,LRTKBRS,7,40143,1,LRTKBRS,663,1634,1,7,0
hhh,10,LRTKBRS,7,42510,1,LRTKBRS,728,1630,1,7,0
