subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
tahoeua,practice,0,-1,1,4,left,1,483,0
tahoeua,practice,0,-1,2,2,left,0,99,0
tahoeua,practice,0,1,3,3,left,0,220,0
tahoeua,practice,0,0,4,5,left,1,258,0
tahoeua,practice,0,1,5,1,left,1,455,0
tahoeua,practice,0,0,6,6,left,0,140,0
tahoeua,neutral,1,0,1,6,right,1,2303,0
tahoeua,neutral,1,0,2,6,right,1,533,0
tahoeua,neutral,1,0,3,5,left,1,474,0
tahoeua,neutral,1,0,4,5,left,1,303,0
tahoeua,neutral,1,0,5,6,right,1,423,0
tahoeua,neutral,1,0,6,6,right,1,345,0
tahoeua,neutral,1,0,7,5,left,1,1368,0
tahoeua,neutral,1,0,8,6,right,1,611,0
tahoeua,neutral,1,0,9,5,left,1,423,0
tahoeua,neutral,1,0,10,5,left,1,404,0
tahoeua,neutral,1,0,11,6,right,1,1607,0
tahoeua,neutral,1,0,12,6,right,1,1019,0
tahoeua,neutral,1,0,13,5,left,1,462,0
tahoeua,neutral,1,0,14,5,left,1,384,0
tahoeua,neutral,1,0,15,6,right,1,473,0
tahoeua,neutral,1,0,16,5,left,1,503,0
tahoeua,neutral,1,0,17,6,right,1,435,0
tahoeua,neutral,1,0,18,5,left,1,434,0
tahoeua,neutral,1,0,19,6,right,1,483,0
tahoeua,neutral,1,0,20,5,left,1,613,0
tahoeua,congruent,2,1,1,3,right,1,473,0
tahoeua,congruent,2,1,2,3,right,1,324,0
tahoeua,congruent,2,1,3,1,left,1,752,0
tahoeua,congruent,2,1,4,3,right,1,354,0
tahoeua,congruent,2,1,5,3,right,1,1438,0
tahoeua,congruent,2,1,6,1,left,1,394,0
tahoeua,congruent,2,1,7,3,right,1,415,0
tahoeua,congruent,2,1,8,1,left,1,424,0
tahoeua,congruent,2,1,9,1,left,1,362,0
tahoeua,congruent,2,1,10,3,right,1,374,0
tahoeua,congruent,2,1,11,1,right,0,435,0
tahoeua,congruent,2,1,12,3,right,1,364,0
tahoeua,congruent,2,1,13,1,right,0,335,0
tahoeua,congruent,2,1,14,1,left,1,384,0
tahoeua,congruent,2,1,15,3,right,1,402,0
tahoeua,congruent,2,1,16,1,left,1,443,0
tahoeua,congruent,2,1,17,1,left,1,434,0
tahoeua,congruent,2,1,18,3,right,1,574,0
tahoeua,congruent,2,1,19,3,right,1,483,0
tahoeua,congruent,2,1,20,1,left,1,414,0
