111,EN,Wed Nov  5 14:24:08 2025,DOTS TASK,keyboard,INITIATED
111,EN,Wed Nov  5 14:24:09 2025,DOTS TASK,keyboard,PRACTICE BEGIN
111,EN,Wed Nov  5 14:33:43 2025,dots ,keyboard,EXPERIMENT COMPLETE
1616,EN,Wed Nov  5 14:46:45 2025,DOTS TASK,keyboard,INITIATED
1616,EN,Wed Nov  5 14:46:47 2025,DOTS TASK,keyboard,PRACTICE BEGIN
1616,EN,Wed Nov  5 14:47:24 2025,DOTS TASK,keyboard,INITIATED
1616,EN,Wed Nov  5 14:47:25 2025,DOTS TASK,keyboard,PRACTICE BEGIN
1516,EN,Wed Nov  5 14:48:27 2025,DOTS TASK,keyboard,INITIATED
1516,EN,Wed Nov  5 14:48:29 2025,DOTS TASK,keyboard,PRACTICE BEGIN
51515,EN,Wed Nov  5 14:48:52 2025,DOTS TASK,keyboard,INITIATED
51515,EN,Wed Nov  5 14:48:53 2025,DOTS TASK,keyboard,PRACTICE BEGIN
151661,EN,Wed Nov  5 14:50:32 2025,DOTS TASK,keyboard,INITIATED
151661,EN,Wed Nov  5 14:50:34 2025,DOTS TASK,keyboard,PRACTICE BEGIN
1516,EN,Wed Nov  5 14:52:14 2025,DOTS TASK,keyboard,INITIATED
1516,EN,Wed Nov  5 14:52:16 2025,DOTS TASK,keyboard,PRACTICE BEGIN
6161,EN,Wed Nov  5 15:01:49 2025,DOTS TASK,keyboard,INITIATED
6161,EN,Wed Nov  5 15:01:51 2025,DOTS TASK,keyboard,PRACTICE BEGIN
116,EN,Wed Nov  5 15:02:19 2025,DOTS TASK,keyboard,INITIATED
116,EN,Wed Nov  5 15:02:20 2025,DOTS TASK,keyboard,PRACTICE BEGIN
_hth,,Sat Dec  6 00:58:56 2025,DOTS TASK,auto,INITIATED
_hth,,Sat Dec  6 00:59:00 2025,DOTS TASK,auto,PRACTICE BEGIN
tntn,,Sat Dec  6 01:00:09 2025,DOTS TASK,auto,INITIATED
tntn,,Sat Dec  6 01:00:11 2025,DOTS TASK,auto,PRACTICE BEGIN
111,,Sat Dec  6 01:00:45 2025,DOTS TASK,auto,INITIATED
111,,Sat Dec  6 01:00:47 2025,DOTS TASK,auto,PRACTICE BEGIN
_,,Sat Dec  6 01:03:02 2025,DOTS TASK,auto,INITIATED
_,,Sat Dec  6 01:03:04 2025,DOTS TASK,auto,PRACTICE BEGIN
1111,,Sat Dec  6 01:24:40 2025,DOTS TASK,auto,INITIATED
1111,,Sat Dec  6 01:24:42 2025,DOTS TASK,auto,PRACTICE BEGIN
thth,,Sat Dec  6 01:25:58 2025,DOTS TASK,auto,INITIATED
thth,,Sat Dec  6 01:26:00 2025,DOTS TASK,auto,PRACTICE BEGIN
thth,,Sat Dec  6 01:26:19 2025,DOTS TASK,auto,INITIATED
thth,,Sat Dec  6 01:26:22 2025,DOTS TASK,auto,PRACTICE BEGIN
toaeuhaeo,,Tue Dec  9 21:10:00 2025,DOTS TASK,mousetarget,INITIATED
toaeuhaeo,,Tue Dec  9 21:10:04 2025,DOTS TASK,mousetarget,PRACTICE BEGIN
toaunh,,Tue Dec  9 21:10:34 2025,DOTS TASK,mousebutton,INITIATED
toaunh,,Tue Dec  9 21:10:35 2025,DOTS TASK,mousebutton,PRACTICE BEGIN
