subnum,block,time,trial,practice,targdir,oddballcoherence,oddballdir,time0,resp,corr,rt
hth,0,29520,1,1,1,-1,0,28375,right,0,744
hth,0,34277,2,1,2,1,0,31375,<timeout>,0,2500
hth,0,37276,3,1,2,1,0,34375,<timeout>,0,2500
hth,0,40276,4,1,1,-1,0,37375,<timeout>,0,2500
hth,0,41184,5,1,2,1,0,40375,right,1,408
hth,0,44863,6,1,2,1,0,43375,left,0,1087
hth,0,47484,7,1,1,1,1,46375,left,1,708
hth,0,50332,8,1,2,-1,1,49375,right,1,556
hth,0,53263,9,1,2,-1,1,52375,left,0,486
hth,0,56394,10,1,1,-1,0,55375,left,1,617
hth,0,59819,11,1,1,-1,0,58375,right,0,1042
hth,0,62296,12,1,1,1,1,61375,right,0,520
