time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
0,0.0143423,0.0182309,0.0407365,7900,17400
10,0.0166046,0.0192143,0.0196969,3700,17100
20,0.0137036,0.016347,0.0178654,4100,16800
30,0.0086595,0.0103376,0.00989107,3200,16600
40,0.00734586,0.00900195,0.00787324,3500,16800
50,0.0154008,0.018457,0.00585312,1900,14500
60,0.00856642,0.010114,0.00591328,1100,16200
70,0.00700156,0.00878223,0.00605409,2600,16600
80,0.0129653,0.0145398,0.00470818,500,15500
90,0.0139711,0.0160809,0.00504874,1200,16100
100,0.0118819,0.0133823,0.00509964,700,16300
110,0.00884122,0.00999349,0.00453702,700,15600
120,0.00775008,0.00917808,0.00383974,900,14500
130,0.0093689,0.0111755,0.00469993,1600,15500
140,0.00740689,0.00899663,0.00458332,1300,15200
150,0.012965,0.0161801,0.00432097,1900,14200
160,0.0145451,0.0156828,0.00396092,100,15100
170,0.00562827,0.00656554,0.00463679,1100,15000
180,0.011476,0.0137775,0.00478277,900,14700
190,0.014301,0.0157427,0.00487766,700,16000
200,0.00992806,0.0131549,0.00520755,3700,16500
210,0.0119899,0.0170976,0.0399593,8900,16700
220,0.0101637,0.0131227,0.0280461,8100,17500
230,0.00445529,0.00565503,0.0128242,7600,16700
240,0.0104609,0.0126194,0.0193756,3300,18900
250,0.0125574,0.0144155,0.0070628,1000,17600
260,0.0130825,0.0145594,0.00857464,1100,17000
270,0.00881528,0.0107158,0.00686057,1900,15400
280,0.00927901,0.0108831,0.005792,500,16700
290,0.00988423,0.0121594,0.00460883,1600,15400
300,0.00993916,0.0138958,0.0164917,3800,13200
310,0.00695301,0.00850615,0.00778855,2600,13700
320,0.00564561,0.0069529,0.00824437,4300,14600
330,0.00603957,0.00733429,0.00519705,2400,14200
340,0.00547041,0.00699908,0.00524692,2900,14200
350,0.00607494,0.00755224,0.00514802,3600,16100
360,0.00697354,0.00959804,0.0240884,8000,17600
370,0.00513028,0.00627902,0.0105624,6100,17400
380,0.0167496,0.0214778,0.0276692,4000,14600
390,0.023408,0.0272888,0.0151138,1100,13600
400,0.0132473,0.0160632,0.0122314,3000,15200
410,0.00776464,0.00959003,0.00681477,3900,15500
420,0.00700309,0.0083748,0.00593581,1900,16300
430,0.00963579,0.0110479,0.00632875,1700,16500
440,0.00771873,0.00873285,0.00523284,1300,16100
450,0.0293282,0.0436467,0.0143616,2100,13900
460,0.0475568,0.0574937,0.0166975,900,8900
470,0.227704,0.289705,0.0207369,1000,3300
480,0.209582,0.254142,0.0138867,900,3100
490,0.132033,0.171685,0.0353245,500,3500
500,0.0719335,0.0892735,0.00842149,600,5200
510,0.0776955,0.0868115,0.0103981,500,5700
520,0.0412419,0.0497271,0.00452939,900,5900
530,0.0226796,0.0286919,0.00564807,1400,10100
540,0.0278014,0.0346882,0.00472035,1300,5900
550,0.015322,0.0194771,0.00486657,1400,11600
560,0.0130049,0.0163493,0.00673879,1000,9400
570,0.111808,0.150639,0.0534594,1700,8600
580,0.0778399,0.0978464,0.0299806,1600,8800
590,0.0258922,0.0313407,0.0305569,3600,12700
600,0.0314746,0.0372079,0.0247476,2400,11500
610,0.0666063,0.0824415,0.0169925,1100,11000
620,0.248794,0.336246,0.0446765,1000,4800
630,0.447976,0.526203,0.0671269,1400,3400
640,0.374803,0.446766,0.0608148,1400,4600
650,0.364469,0.45453,0.0974782,1000,3100
660,0.364469,0.45453,0.0974782,1000,3100
670,0.383636,0.468874,0.0726144,1400,3500
680,0.420401,0.474451,0.080992,1100,3300
690,0.386103,0.443782,0.0777532,800,3600
700,0.282029,0.332036,0.0443072,1000,3800
710,0.171861,0.22216,0.0324981,1100,3600
720,0.109638,0.139492,0.0220495,1400,6500
730,0.110235,0.136898,0.0220362,1200,4000
740,0.113571,0.133364,0.0189089,800,3600
750,0.0807316,0.098457,0.0248833,900,4300
760,0.0640995,0.0756349,0.00701813,700,6100
770,0.0321271,0.0374313,0.00702244,1100,5100
780,0.0252462,0.0326446,0.00951953,1500,6700
790,0.0269058,0.0340833,0.00587267,1200,5700
800,0.0180602,0.0221068,0.00724772,1000,8500
810,0.018019,0.0217899,0.00622649,1900,8200
820,0.101521,0.129255,0.0112263,600,5000
830,0.147452,0.165241,0.022887,400,6400
840,0.169134,0.183392,0.0228376,400,6100
850,0.14896,0.187443,0.0206075,800,4000
860,0.165372,0.206275,0.0161762,800,4300
870,0.160995,0.206029,0.0201015,1000,2600
880,0.193017,0.230823,0.0489677,900,1900
890,0.107641,0.13234,0.0132346,800,4500
900,0.146868,0.162909,0.0124949,500,4000
910,0.134497,0.148024,0.0204617,500,2900
920,0.0882097,0.101231,0.0116304,500,5600
930,0.0949944,0.11025,0.0155837,500,6200
940,0.0341128,0.0465733,0.00758725,900,11100
950,0.0404527,0.0512589,0.0134052,500,12100
960,0.0254084,0.0300406,0.00680439,600,11600
970,0.0190455,0.023016,0.00811369,900,11100
980,0.0149564,0.0178453,0.00456073,1500,11900
990,0.031097,0.0402134,0.0600475,3000,11000
1000,0.0477206,0.0591453,0.144242,10400,13400
1010,0.0372388,0.0457408,0.117868,11400,15300
1020,0.0197028,0.025096,0.0711526,12800,16600
1030,0.0137364,0.0173972,0.0317735,7700,14200
1040,0.0117143,0.014093,0.023568,6800,16000
1050,0.0132887,0.0161892,0.0196616,4700,16400
1060,0.0100598,0.0119863,0.0156674,4200,15400
1070,0.00693304,0.00893734,0.0100163,5900,13300
1080,0.00652868,0.00815179,0.0106592,5700,15500
1090,0.00920577,0.0110561,0.00829253,2100,14400
1100,0.00761344,0.00907248,0.00781869,1900,15500
1110,0.00822518,0.00960424,0.00554582,1300,14500
1120,0.013361,0.0147136,0.00597682,500,15000
1130,0.0093603,0.0111806,0.00603762,900,16800
1140,0.00821797,0.00913099,0.00477118,1000,15100
1150,0.00840607,0.010987,0.00443087,1800,14600
1160,0.00776964,0.011089,0.00394726,1900,12300
1170,0.0115037,0.0140093,0.0043236,1400,13800
1180,0.0046101,0.00562441,0.00518218,2300,16100
1190,0.00747681,0.00885493,0.00524493,1100,16600
1200,0.00923074,0.0112703,0.00682692,1400,13100
1210,0.0127838,0.0149148,0.0118464,1700,14700
1220,0.0165186,0.0218865,0.0545354,3600,15200
1230,0.029005,0.0416938,0.0880879,8800,16600
