subnum,trial,run,rule,lastrule,color,shape,number,resp,corr,last_corr,corr_col,corr_shape,corr_num,persev,persev_err,abstime,rt
111,1,1,1,-1,Green,Cross,3,2,1,0,1,0,0,0,0,10096,1500
111,2,1,1,-1,Red,Circle,4,1,1,0,1,0,0,0,0,12133,340
111,3,1,1,-1,Red,Cross,2,2,0,0,0,0,1,0,0,13024,361
111,4,1,1,-1,Red,Star,2,3,0,0,0,0,0,0,0,13919,216
111,5,1,1,-1,Yellow,Circle,2,4,0,0,0,1,0,0,0,14665,233
111,6,1,1,-1,Yellow,Star,3,3,1,0,1,0,1,0,0,15433,242
111,7,1,1,-1,Yellow,Circle,3,2,0,0,0,0,0,0,0,16204,264
111,8,1,1,-1,Red,Star,1,1,1,0,1,0,1,0,0,17003,232
111,9,1,1,-1,Red,Cross,4,2,0,0,0,0,0,0,0,17775,30
111,10,1,1,-1,Yellow,Circle,4,4,0,0,0,1,1,0,0,18338,360
111,11,1,1,-1,Blue,Cross,4,3,0,0,0,1,0,0,0,19235,136
