subnum,trial,prestime,delay,size,same,resp,corr,rt
example,1,300,1000,2,1,<rshift>,1,964
example,2,300,1000,1,1,<rshift>,1,1024
example,3,300,1000,3,1,<rshift>,1,993
example,4,300,1000,4,1,<lshift>,0,1234
example,5,300,1000,1,1,<rshift>,1,1294
example,6,300,1000,4,1,<rshift>,1,2589
example,7,300,1000,3,1,<rshift>,1,2085
example,8,300,1000,3,0,<lshift>,1,2015
example,9,300,1000,8,1,<lshift>,0,1040
example,10,300,1000,2,1,<rshift>,1,933
example,11,300,1000,4,1,<rshift>,1,1093
example,12,300,1000,3,1,<rshift>,1,1315
example,13,300,1000,2,0,<lshift>,1,1345
example,14,300,1000,2,1,<rshift>,1,927
example,15,300,1000,3,1,<rshift>,1,1398
example,16,300,1000,4,1,<rshift>,1,962
example,17,300,1000,8,1,<lshift>,0,1235
example,18,300,1000,4,0,<lshift>,1,1457
example,19,300,1000,4,0,<lshift>,1,1238
example,20,300,1000,12,0,<lshift>,1,1385
example,21,300,1000,2,1,<rshift>,1,692
example,22,300,1000,3,0,<lshift>,1,1563
example,23,300,1000,3,1,<rshift>,1,764
example,24,300,1000,4,1,<rshift>,1,1388
example,25,300,1000,8,1,<rshift>,1,1240
example,26,300,1000,8,1,<lshift>,0,1725
example,27,300,1000,4,0,<rshift>,0,854
example,28,300,1000,12,0,<rshift>,0,1599
example,29,300,1000,1,1,<rshift>,1,1226
example,30,300,1000,4,1,<rshift>,1,3171
example,31,300,1000,4,1,<rshift>,1,1647
example,32,300,1000,1,1,<rshift>,1,814
example,33,300,1000,8,0,<lshift>,1,1823
example,34,300,1000,3,0,<rshift>,0,1228
example,35,300,1000,8,0,<lshift>,1,1072
example,36,300,1000,1,0,<lshift>,1,956
example,37,300,1000,8,1,<rshift>,1,1015
example,38,300,1000,12,0,<lshift>,1,1311
example,39,300,1000,12,0,<rshift>,0,1394
example,40,300,1000,3,0,<lshift>,1,987
