sub,trial,domhand,hand,tap,sumtime,trialtime,rt
116,1,Left,Left,1,123,123,123
116,1,Left,Left,2,318,321,195
116,1,Left,Left,3,505,510,187
116,1,Left,Left,4,696,704,191
116,1,Left,Left,5,896,907,200
116,1,Left,Left,6,1092,1105,196
116,1,Left,Left,7,1290,1305,198
116,1,Left,Left,8,1491,1509,201
116,1,Left,Left,9,2113,2134,622
116,1,Left,Left,10,2326,2350,213
116,1,Left,Left,11,2750,2777,424
116,1,Left,Left,12,2965,2994,215
116,1,Left,Left,13,3175,3207,210
116,1,Left,Left,14,3397,3431,222
116,1,Left,Left,15,4020,4057,623
116,1,Left,Left,16,4242,4281,222
116,1,Left,Left,17,4861,4903,619
116,1,Left,Left,18,4962,5007,101
