subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
151,1,H,1,0,0,0,0.14,0.85,0.85,3363,1699,<lshift>,1,1
151,2,H,1,0,0,0,0.14,0.85,0.85,6091,478,<lshift>,1,1
151,3,F,0,1,1,0,0.047,0.5,0.5,7574,1582,<rshift>,1,0
151,4,H,1,0,0,0,0.14,0.85,0.85,10659,469,<lshift>,1,1
151,5,A,0,0,0,1,0.14,0.15,0.15,12135,575,<rshift>,0,1
151,6,D,0,1,0,0,0.084,0.62,0.62,13718,694,<lshift>,1,1
151,7,C,0,0,1,1,0.087,0.1,0.1,15418,937,<rshift>,0,1
151,8,H,1,0,0,0,0.14,0.85,0.85,17364,726,<lshift>,1,1
151,9,C,0,0,1,1,0.087,0.1,0.1,19094,591,<rshift>,1,0
151,10,C,0,0,1,1,0.087,0.1,0.1,21191,1862,<rshift>,0,1
151,11,A,0,0,0,1,0.14,0.15,0.15,24056,708,<rshift>,0,1
151,12,A,0,0,0,1,0.14,0.15,0.15,25770,2740,<rshift>,0,1
151,13,B,0,0,1,0,0.084,0.38,0.38,29515,611,<lshift>,0,0
151,14,A,0,0,0,1,0.14,0.15,0.15,31634,463,<rshift>,0,1
151,15,E,0,1,0,1,0.064,0.18,0.18,33105,1728,<rshift>,0,1
151,16,C,0,0,1,1,0.087,0.1,0.1,35842,665,<rshift>,0,1
151,17,D,0,1,0,0,0.084,0.62,0.62,37513,1039,<lshift>,1,1
151,18,A,0,0,0,1,0.14,0.15,0.15,39557,453,<rshift>,1,0
151,19,L,1,1,0,0,0.087,0.9,0.9,41516,472,<lshift>,1,1
151,20,D,0,1,0,0,0.084,0.62,0.62,42997,566,<lshift>,0,0
151,21,G,0,1,1,1,0.041,0.21,0.21,45070,831,<rshift>,0,1
